Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
Rugby Addict,https://swelbyboy.github.io/prospect-rss-feeds/rugby-addict.xml,Hosted feed (matched from XML files),failed,2025-11-29 11:33:29,United Kingdom,rugby-addict.com,To Do,FALSE,Sam,,FALSE,Hosted feed found and matched
UCLA,https://swelbyboy.github.io/prospect-rss-feeds/ucla.xml,Hosted feed (matched from XML files),-,,United States,ucla.edu,To Do,FALSE,,,FALSE,Hosted feed found and matched
Pacific Media Group,https://swelbyboy.github.io/prospect-rss-feeds/pacific-media-group.xml,OG,success,2025-11-29 11:33:29,United States,pmghawaii.com,Parent org,FALSE,Karen,,FALSE,
3FM,https://swelbyboy.github.io/prospect-rss-feeds/3fm.xml,Hosted feed (matched from XML files),-,,United Kingdom,three.fm,To Do,FALSE,,,FALSE,Hosted feed found and matched
It's Gone Viral,https://swelbyboy.github.io/prospect-rss-feeds/it-s-gone-viral.xml,OG,success,2025-11-29 11:33:34,United Kingdom,igvofficial.com,Error adding feed to EBX,FALSE,Sam,,FALSE,An error occurred while validating the feed URL
Haystack News,https://swelbyboy.github.io/prospect-rss-feeds/haystack-news.xml,Hosted feed (matched from XML files),-,,United States,haystack.tv,To Do,FALSE,,,FALSE,Hosted feed found and matched
London Bangla Ltd,https://swelbyboy.github.io/prospect-rss-feeds/londonist-ltd.xml,Hosted feed (matched from XML files),-,,United Kingdom,lb24.tv,To Do,FALSE,,,FALSE,Hosted feed found and matched
SamMobile.com,https://swelbyboy.github.io/prospect-rss-feeds/sammobile-com.xml,OG,success,2025-11-29 11:33:35,United States,sammobile.com,Sending,FALSE,Karen,,FALSE,
Isle of Wight Radio,https://swelbyboy.github.io/prospect-rss-feeds/isle-of-wight-radio.xml,OG,success,2025-11-29 11:33:36,United Kingdom,iwradio.co.uk,Sending,FALSE,Sam,,FALSE,
The Richmond Observer,https://swelbyboy.github.io/prospect-rss-feeds/the-daily-observer.xml,Hosted feed (matched from XML files),-,,United States,richmondobserver.com,To Do,FALSE,,,FALSE,Hosted feed found and matched
KTTN,https://swelbyboy.github.io/prospect-rss-feeds/kttn.xml,OG,success,2025-11-29 11:33:38,United States,kttn.com,Error adding feed to EBX,FALSE,Karen,,FALSE,Error adding content feed
Chinese Herald,https://swelbyboy.github.io/prospect-rss-feeds/chinese-herald.xml,Hosted feed (matched from XML files),failed,2025-11-29 12:03:00,New Zealand,chineseherald.co.nz,To Do,FALSE,Later,,FALSE,Hosted feed found and matched
Gay Times,https://swelbyboy.github.io/prospect-rss-feeds/gay-times.xml,OG,success,2025-11-29 11:33:40,United Kingdom,gaytimes.co.uk,Sending,FALSE,Sam,,FALSE,
Catchfence,https://swelbyboy.github.io/prospect-rss-feeds/catchfence.xml,OG,success,2025-11-29 11:33:48,United States,catchfence.com,Error adding feed to EBX,FALSE,Karen,,FALSE,Error adding content feed
Eleven Warriors,https://swelbyboy.github.io/prospect-rss-feeds/eleven-warriors.xml,OG,success,2025-11-29 11:33:49,United States,elevenwarriors.com,Sending,FALSE,Karen,,FALSE,
Farmers Guardian,https://swelbyboy.github.io/prospect-rss-feeds/farmers-guardian.xml,OG,success,2025-11-29 12:03:02,,farmersguardian.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Crime Online,https://swelbyboy.github.io/prospect-rss-feeds/crime-online.xml,OG,success,2025-11-29 11:33:50,United States,crimeonline.com,Sending,FALSE,Karen,,FALSE,
Best Little Sites,https://swelbyboy.github.io/prospect-rss-feeds/best-little-sites.xml,OG,success,2025-11-29 11:33:51,United States,comicbookmovie.com,Sending,FALSE,Karen,,FALSE,
Ringside News,https://swelbyboy.github.io/prospect-rss-feeds/ringside-news.xml,OG,success,2025-11-29 11:33:52,United States,ringsidenews.com,Sending,FALSE,Karen,,FALSE,
Pulse 2.0,https://swelbyboy.github.io/prospect-rss-feeds/pulse-2-0.xml,OG,success,2025-11-29 11:33:54,United States,pulse2.com,Sending,FALSE,Karen,,FALSE,
Cricket Australia,https://swelbyboy.github.io/prospect-rss-feeds/cricket-australia.xml,RSS,success,2025-11-29 12:03:04,Australia,cricketaustralia.com.au,Error adding feed to EBX,FALSE,Sam,,FALSE,Error adding content feed
KnowTechie,https://swelbyboy.github.io/prospect-rss-feeds/knowtechie.xml,OG,success,2025-11-29 11:33:56,United States,knowtechie.com,Sending,FALSE,Karen,,FALSE,
Londra Gazete,https://swelbyboy.github.io/prospect-rss-feeds/londra-gazete.xml,OG,success,2025-11-29 11:34:00,United Kingdom,londragazete.com,Sending,FALSE,Sam,,FALSE,Error adding content feed
Vital MTB,https://swelbyboy.github.io/prospect-rss-feeds/vital-mtb.xml,Hosted feed (matched from XML files),failed,2025-11-29 11:34:00,United States,vitalmtb.com,To Do,FALSE,Sam,,FALSE,Hosted feed found and matched
Eagle Country 99.3,https://swelbyboy.github.io/prospect-rss-feeds/eagle-country-99-3.xml,Hosted feed (matched from XML files),-,,United States,eaglecountryonline.com,To Do,FALSE,,,FALSE,Hosted feed found and matched
Just Jared,https://swelbyboy.github.io/prospect-rss-feeds/just-jared.xml,OG,success,2025-11-29 11:34:01,United States,justjared.com,Insufficient/Old Content,FALSE,Sam,,FALSE,No content showing on newsletter
Rimix Radio,https://swelbyboy.github.io/prospect-rss-feeds/rimix-radio.xml,OG,success,2025-11-29 11:34:17,United States,rimixradio.com,Sending,FALSE,Karen,,FALSE,
The Poke,https://swelbyboy.github.io/prospect-rss-feeds/the-poke.xml,"OG (9), RSS (1)",success,2025-11-29 11:34:19,United Kingdom,thepoke.co.uk,Sending,FALSE,Sam,,FALSE,
Celeb Dirty Laundry,https://swelbyboy.github.io/prospect-rss-feeds/celeb-dirty-laundry.xml,OG,success,2025-11-29 11:34:27,United States,celebdirtylaundry.com,Sending,FALSE,Karen,,FALSE,
Over60,https://swelbyboy.github.io/prospect-rss-feeds/over60.xml,OG,success,2025-11-29 12:03:09,Australia,oversixty.com.au,To Do,FALSE,Sam,,FALSE,
Quad Cities,https://swelbyboy.github.io/prospect-rss-feeds/quad-cities.xml,OG,success,2025-11-29 11:34:32,United States,quadcities.com,Sending,FALSE,Karen,,FALSE,
Gematsu,https://swelbyboy.github.io/prospect-rss-feeds/gematsu.xml,OG,success,2025-11-29 12:03:10,Australia,gematsu.com,Sending,FALSE,Later,,FALSE,
Jedi News,https://swelbyboy.github.io/prospect-rss-feeds/jedi-news.xml,RSS,success,2025-11-29 11:34:42,United Kingdom,jedinews.co.uk,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Talking Rugby Union (TRU),https://swelbyboy.github.io/prospect-rss-feeds/talking-rugby-union--tru.xml,Hosted feed (matched from XML files),-,,United Kingdom,talkingrugbyunion.co.uk,To Do,FALSE,,,FALSE,Hosted feed found and matched
AllHipHop,https://swelbyboy.github.io/prospect-rss-feeds/allhiphop.xml,OG,success,2025-11-29 11:34:43,United States,allhiphop.com,Sending,FALSE,Karen,,FALSE,
Mom and More,https://swelbyboy.github.io/prospect-rss-feeds/mom-and-more.xml,OG,success,2025-11-29 11:35:01,United States,momandmore.com,Sending,FALSE,Sam,,FALSE,Error adding content feed
IMBOLDN,https://swelbyboy.github.io/prospect-rss-feeds/imboldn.xml,OG,success,2025-11-29 11:35:05,United States,imboldn.com,Sending,FALSE,Karen,,FALSE,
RNZ,https://swelbyboy.github.io/prospect-rss-feeds/rnz.xml,Hosted feed (matched from XML files),-,,New Zealand,radionz.co.nz,To Do,FALSE,,,FALSE,Hosted feed found and matched
Manx Radio,https://swelbyboy.github.io/prospect-rss-feeds/manx-radio.xml,Hosted feed (matched from XML files),-,,United Kingdom,manxradio.com,To Do,FALSE,,,FALSE,Hosted feed found and matched
Derry Daily,https://swelbyboy.github.io/prospect-rss-feeds/derry-daily.xml,Hosted feed (matched from XML files),failed,2025-11-29 11:35:05,United Kingdom,derrydaily.net,To Do,FALSE,Sam,,FALSE,Hosted feed found and matched
Indiana Public Media,https://swelbyboy.github.io/prospect-rss-feeds/indiana-public-media.xml,OG,success,2025-11-29 11:35:10,United States,indianapublicmedia.org,Sending,FALSE,Karen,,FALSE,
I Creative Ideas,https://swelbyboy.github.io/prospect-rss-feeds/i-creative-ideas.xml,OG,success,2025-11-29 11:35:11,United States,icreativeideas.com,Irrelevant prospect,FALSE,Karen,,FALSE,"""No relevant articles found on content feeds""
(Most articles are very old)"
Newsdakota.com,https://swelbyboy.github.io/prospect-rss-feeds/newsdakota-com.xml,OG,success,2025-11-29 11:35:16,United States,newsdakota.com,Sending,FALSE,Karen,,FALSE,
Essex Media Group,https://swelbyboy.github.io/prospect-rss-feeds/essex-media-group.xml,OG,success,2025-11-29 12:03:12,,itemlive.com,To Do,FALSE,,,FALSE,Newly discovered RSS feed
